registration_date,nationality_e,gender_e,person_birth_year,vechile_type,manufacture_year,cylinders_num,cylinder_capacity,color,business_individual,fuel_type,transmission_manual_automatic,number_of_passenger_seating_capcity,number_of_doors,empty_weight,km_driven,next_service_date,service_frequency,customer_age,customer_id,vehicle_age,churn_risk,upgrade_probability,churn_risk_predicted,upgrade_probability_predicted
27/02/2015,Bangladesh,MALE,1978,Light Vehicle,2007,4,2500,Black,Private,Benzene,No,5.0,4.0,1456,200000,25/08/2025 12:00,medium,47,2af891ad-7aa5-444b-9e2d-fa7b3b0b8c65,18,0,1,0.09,1.0
06/11/2021,Bangladesh,MALE,1978,Light Vehicle,2010,6,3800,Brown,Private,Benzene,Yes,7.0,4.0,1800,80000,06/05/2026 12:00,medium,47,1e4a992a-e3ad-43ba-9c3a-64e008438200,15,1,1,0.59,1.0
16/11/2020,Bangladesh,MALE,1979,Light Vehicle,2003,4,1800,Maroon,Private,Benzene,No,5.0,5.0,1600,100000,16/05/2026 12:00,medium,46,73766afd-8026-4bb1-b254-ad32da7b3829,22,0,1,0.5,1.0
11/07/2016,Bangladesh,MALE,1983,Light Vehicle,2001,4,1600,Silver,Private,Benzene,No,5.0,4.0,1200,180000,07/01/2026 12:00,high,42,e614a3bd-5504-4a1d-a22d-5eb80f11caf9,24,0,1,0.23,1.0
18/04/2016,Bangladesh,MALE,1994,Light Vehicle,2008,6,2400,White,Private,Benzene,Yes,5.0,4.0,1200,180000,15/10/2025 12:00,medium,31,180173d3-e421-4930-8259-737af4f8f6a8,17,0,1,0.12,1.0
22/04/2016,Bangladesh,MALE,1998,Light Vehicle,2013,4,2000,Silver,Private,Benzene,Yes,5.0,4.0,1300,180000,19/10/2025 12:00,medium,27,592ed243-2844-4ab0-ab09-1363193569ed,12,0,1,0.11,1.0
20/02/2017,Belarus,FEMALE,1988,Light Vehicle,2017,4,1500,Blue,Private,Benzene,Yes,5.0,4.0,1200,160000,19/08/2025 12:00,medium,37,7af7f6f9-637b-4df9-8031-0e22b0e18cf2,8,0,1,0.19,0.98
24/09/2018,Belgium,FEMALE,1986,Light Vehicle,2020,6,3500,Gray,Private,Benzene,No,5.0,4.0,1846,140000,23/03/2026 12:00,medium,39,9d6628ce-9778-49c2-b5e8-43d7612c68b9,5,0,0,0.26,0.64
10/01/2018,Bulgaria,FEMALE,1995,Light Vehicle,2009,4,2000,Blue,Private,Benzene,No,4.0,2.0,1662,140000,09/07/2025 12:00,medium,30,98b346d1-458a-4dca-a606-2e9a0cec71c8,16,0,1,0.26,1.0
15/01/2017,Burundi,MALE,1979,Light Vehicle,2013,6,3500,Maroon,Private,Benzene,Yes,5.0,4.0,1200,160000,14/07/2025 12:00,high,46,8538aeeb-be62-48f1-9148-69b908808375,12,0,1,0.35,1.0
23/04/2019,Canada,MALE,1964,Light Vehicle,2021,4,2000,Black,Private,Benzene,No,5.0,4.0,1535,120000,20/10/2025 12:00,medium,61,0218e3a9-7d32-4017-b2f4-22035e2cb591,4,0,0,0.42,0.11
25/12/2015,Canada,MALE,1968,Light Vehicle,2013,4,1600,Red,Private,Benzene,No,5.0,4.0,1192,200000,22/06/2026 12:00,high,57,694aa735-4c6a-4947-92c0-d35d64e26c56,12,0,1,0.18,1.0
18/01/2017,China,FEMALE,1962,Light Vehicle,2020,4,2000,White,Private,Benzene,No,5.0,4.0,2030,160000,17/07/2025 12:00,medium,63,8d34c83d-0c14-4574-a618-85ace2f919a8,5,0,1,0.22,0.78
12/08/2017,China,FEMALE,1986,Light Vehicle,2015,4,1500,White,Private,Benzene,No,5.0,4.0,1123,160000,08/02/2026 12:00,medium,39,28014f9d-d70f-463c-892f-a97be27b5968,10,0,1,0.18,1.0
18/03/2018,China,MALE,1982,Light Vehicle,2012,4,2000,White,Private,Benzene,Yes,5.0,4.0,1461,140000,14/09/2025 12:00,low,43,96ee24df-a095-4fc4-b700-89748241c74e,13,1,1,0.34,1.0
15/07/2020,China,MALE,1985,Light Vehicle,2015,8,5600,Gray,Private,Benzene,No,8.0,5.0,2700,100000,12/01/2026 12:00,medium,40,b8183c60-5f3a-45b6-b989-e163fc780831,10,0,1,0.37,0.95
06/06/2016,China,MALE,1986,Light Vehicle,2014,12,6300,Yellow,Private,Benzene,No,2.0,2.0,1925,180000,03/12/2025 12:00,high,39,69f26e76-643d-4595-a8fc-dc9c6fef4988,11,0,1,0.28,1.0
26/08/2018,China,MALE,1988,Light Vehicle,2017,12,6000,Black,Private,Benzene,No,5.0,4.0,1950,140000,22/02/2026 12:00,high,37,4b89d2d2-ce33-4661-8fce-8c545b547922,8,0,1,0.41,0.98
28/02/2019,China,MALE,1990,Light Vehicle,2012,8,4400,Lead,Private,Benzene,No,5.0,4.0,1860,120000,27/08/2025 12:00,medium,35,6b84de0d-f4c0-45a5-a31f-6902367fc323,13,0,1,0.34,1.0
09/05/2015,China,MALE,1993,Light Vehicle,2019,4,1800,Gray,Private,Benzene,No,5.0,4.0,1450,200000,04/11/2025 12:00,medium,32,fa0f98a3-7dbc-4b4b-afa6-0f44d380c001,6,0,1,0.06,0.99
11/04/2019,China,MALE,1994,Light Vehicle,2016,6,3000,Gray,Private,Benzene,Yes,5.0,4.0,1200,120000,08/10/2025 12:00,high,31,22878fc3-b540-4518-bc60-e1cb60261987,9,0,1,0.51,0.95
17/03/2016,China,MALE,1994,Light Vehicle,2020,4,2000,Orange,Private,Benzene,No,4.0,3.0,1964,180000,13/09/2025 12:00,high,31,6289e6ea-ec0e-478f-9cd1-171469e57739,5,0,1,0.18,0.96
30/06/2015,China,MALE,1996,Light Vehicle,2011,6,3200,Black,Private,Benzene,No,4.0,2.0,1580,200000,26/12/2025 12:00,medium,29,dd1e4f95-2d50-4d85-b041-4d3365255c2b,14,0,1,0.07,1.0
11/09/2021,Comoros,MALE,1974,Light Vehicle,2007,8,4700,Silver,Private,Benzene,Yes,5.0,4.0,1650,80000,11/03/2026 12:00,high,51,389bc3f4-0117-4871-9b7d-ef94e30ccfaa,18,1,1,0.79,1.0
28/10/2021,Egypt,FEMALE,1984,Light Vehicle,2014,6,3500,Black,Private,Benzene,Yes,5.0,4.0,1606,80000,27/04/2026 12:00,low,41,62fc2c8f-3966-4c22-9306-e49703e4ab3a,11,1,1,0.69,0.9
18/09/2020,Egypt,FEMALE,1986,Light Vehicle,2021,4,2000,White,Private,Benzene,Yes,5.0,4.0,1535,100000,18/03/2026 12:00,medium,39,8e5abf7c-222c-4564-87e6-7123b8e50a1e,4,0,0,0.47,0.03
21/02/2017,Egypt,FEMALE,1989,Light Vehicle,2011,6,3500,White,Private,Benzene,Yes,7.0,5.0,2197,160000,20/08/2025 12:00,high,36,8fcbb9b9-833f-47f5-bfd6-a36aaf6d9681,14,0,1,0.25,1.0
28/09/2015,Egypt,FEMALE,1992,Light Vehicle,2015,4,1400,Blue,Private,Benzene,Yes,5.0,4.0,1300,200000,26/03/2026 12:00,high,33,fb953d82-6964-4ead-ae0d-72cf139f9a63,10,0,1,0.14,1.0
06/11/2019,Egypt,MALE,1954,Light Vehicle,2015,4,2000,White,Private,Benzene,Yes,7.0,5.0,2420,120000,05/05/2026 12:00,low,71,0b653b72-8cf0-4450-b3c2-3f5e868577f8,10,1,1,0.46,0.94
01/02/2018,Egypt,MALE,1966,Motor Cycle,2018,6,1800,White,Private,Benzene,No,2.0,0.0,250,140000,31/07/2025 12:00,medium,59,6c075d4e-bf94-4f66-956f-d7dd11443f54,7,0,0,0.43,0.87
23/11/2015,Egypt,MALE,1969,Trailer,2020,4,2000,Beige,Private,Not Exist,No,,,200,200000,21/05/2026 12:00,medium,56,ea321695-f0be-480e-8915-43a8276e6815,5,0,1,0.2,0.99
04/07/2018,Egypt,MALE,1971,Light Vehicle,2015,6,3600,Green,Private,Benzene,No,4.0,2.0,1839,140000,31/12/2025 12:00,low,54,18e04cb7-e851-4947-a283-8f572147f15d,10,1,1,0.39,0.99
06/04/2015,Egypt,MALE,1975,Light Vehicle,2006,4,2000,Blue,Private,Benzene,No,5.0,4.0,1250,200000,02/10/2025 12:00,low,50,d54dd5ed-53dc-41d3-b1af-e52ca4d2671f,19,1,1,0.12,1.0
25/05/2021,Egypt,MALE,1978,Light Vehicle,2010,8,5000,Black,Private,Benzene,No,4.0,2.0,1600,80000,22/11/2025 12:00,low,47,6fd5e78c-0bd3-4ae3-8eee-c14a4e1f1156,15,1,1,0.73,1.0
11/11/2016,Egypt,MALE,1979,Light Vehicle,2009,8,4400,Silver,Private,Benzene,Yes,5.0,4.0,1700,180000,10/05/2026 12:00,medium,46,d09eabe5-2fe9-4038-ad9b-72a98cbfcfb1,16,0,1,0.14,1.0
10/09/2019,Egypt,MALE,1979,Light Vehicle,2014,8,4400,White,Private,Benzene,Yes,5.0,4.0,1850,120000,09/03/2026 12:00,medium,46,030a24aa-12c6-4dac-a0fa-8a03b28fab7b,11,0,1,0.38,0.99
13/03/2017,Egypt,MALE,1981,Light Vehicle,2005,6,3500,Golden,Private,Benzene,No,7.0,4.0,1600,160000,09/09/2025 12:00,high,44,52188cce-db93-45c7-b759-041e886c6322,20,0,1,0.28,1.0
11/09/2018,Egypt,MALE,1983,Light Vehicle,2019,4,2000,White,Private,Benzene,Yes,5.0,2.0,1200,140000,10/03/2026 12:00,medium,42,cb1c676f-535a-4069-a1a9-a2bf87a5a654,6,0,0,0.27,0.6
16/11/2018,Egypt,MALE,1983,Light Vehicle,2020,4,2000,Blue,Private,Benzene,Yes,5.0,5.0,1143,140000,15/05/2026 12:00,medium,42,c642ea0d-67da-46e8-af76-538b6c0b2dd2,5,0,0,0.26,0.44
26/04/2016,Egypt,MALE,1983,Light Vehicle,2020,3,1200,White,Private,Benzene,Yes,5.0,4.0,1050,180000,23/10/2025 12:00,medium,42,919617a2-0fa9-4cd5-80c6-c1ba24662f85,5,0,1,0.12,0.87
05/11/2021,Egypt,MALE,1984,Light Vehicle,2014,6,3000,White,Private,Benzene,Yes,5.0,5.0,2675,80000,05/05/2026 12:00,low,41,46af3e0e-e229-4415-8c85-6a66db1e0625,11,1,1,0.62,0.91
18/06/2020,Egypt,MALE,1985,Light Vehicle,2015,6,3000,Blue,Private,Benzene,Yes,5.0,4.0,1600,100000,16/12/2025 12:00,high,40,5aef5488-98f2-4555-846e-ddcbd7c7560d,10,0,1,0.64,0.93
16/08/2021,Egypt,MALE,1988,Light Vehicle,2009,4,1600,Blue,Private,Benzene,Yes,5.0,4.0,1280,80000,13/02/2026 12:00,medium,37,cafe10f5-3178-4867-8818-773bef0fd2db,16,1,1,0.58,1.0
15/04/2021,Egypt,MALE,1989,Light Vehicle,2006,6,2800,White,Private,Benzene,Yes,5.0,4.0,2116,80000,13/10/2025 12:00,high,36,b059a422-7f7d-4a33-bdef-d63a435e5ede,19,1,1,0.71,1.0
15/03/2019,Egypt,MALE,1990,Light Vehicle,2020,6,3500,Golden,Private,Benzene,Yes,5.0,4.0,1650,120000,11/09/2025 12:00,medium,35,c3292be2-70cb-4486-a975-b626c3fd7295,5,0,0,0.34,0.22
29/06/2021,Egypt,MALE,1991,Light Vehicle,2004,6,2400,White,Private,Benzene,No,5.0,4.0,1600,80000,27/12/2025 12:00,high,34,cc47d06b-c9be-4f6a-9f54-650d19cb868e,21,1,1,0.71,1.0
03/09/2015,Egypt,MALE,1991,Light Vehicle,2019,4,2000,Blue,Private,Benzene,Yes,5.0,4.0,1900,200000,01/03/2026 12:00,high,34,3fb6cf6b-cadb-4d46-bb38-fabf910dba13,6,0,1,0.12,0.99
27/05/2016,Egypt,MALE,1992,Light Vehicle,2015,4,1800,White,Private,Benzene,Yes,5.0,4.0,1114,180000,23/11/2025 12:00,high,33,35d6c3ce-a285-4d8e-a1e1-f6176980d28a,10,0,1,0.2,1.0
06/05/2015,Egypt,MALE,1995,Light Vehicle,2020,8,5700,Red,Private,Benzene,Yes,5.0,4.0,1799,200000,01/11/2025 12:00,medium,30,7b0660e6-fe4a-4ebd-b008-a67393b7204c,5,0,1,0.07,0.97
20/04/2017,Egypt,MALE,2000,Light Vehicle,2005,4,2000,Blue,Private,Benzene,Yes,5.0,4.0,1200,160000,17/10/2025 12:00,medium,25,a70dace6-1959-45e2-957f-6551cc003c80,20,0,1,0.15,1.0
12/10/2017,Emirates,FEMALE,1943,Heavy Vehicle,1999,6,6000,White,Private,Diesel,No,3.0,2.0,4500,160000,10/04/2026 12:00,medium,82,b5e93393-fa64-4b25-b9a9-8f3d68f3c8e1,26,0,1,0.36,1.0
05/12/2016,Emirates,FEMALE,1948,Light Vehicle,2011,8,5000,Gray,Private,Benzene,No,5.0,4.0,2150,180000,03/06/2026 12:00,low,77,eb10e378-b350-4975-bfff-402c1613bfdb,14,1,1,0.26,1.0
09/11/2020,Emirates,FEMALE,1957,Light Vehicle,2021,4,2000,Silver,Private,Benzene,No,5.0,5.0,2120,100000,09/05/2026 12:00,medium,68,3efd78ba-d638-44dc-b1c0-6243ed198228,4,0,0,0.54,0.04
16/07/2017,Emirates,FEMALE,1960,Light Vehicle,2021,4,2000,Gray,VIP,Benzene,No,2.0,2.0,1250,160000,12/01/2026 12:00,high,65,add2ccfe-bb45-4725-a855-2893ee866a2d,4,0,1,0.47,0.67
22/12/2016,Emirates,FEMALE,1961,Light Vehicle,2021,4,2000,Black,Private,Benzene,No,8.0,5.0,2760,180000,20/06/2026 12:00,low,64,fa1c08a3-9eee-48b1-a30e-595ecf5f0e5f,4,1,1,0.14,0.8
09/11/2018,Emirates,FEMALE,1970,Light Vehicle,2021,4,2000,White,Private,Benzene,No,5.0,5.0,1800,140000,08/05/2026 12:00,high,55,e1706183-1c8f-4d9d-a2cf-467783cd8d3b,4,0,0,0.44,0.42
28/12/2015,Emirates,FEMALE,1971,Light Vehicle,2020,4,2000,Silver,Private,Benzene,No,5.0,4.0,1636,200000,25/06/2026 12:00,low,54,15e1085f-7317-437d-b28b-0063fc924590,5,1,1,0.12,0.98
31/08/2020,Emirates,FEMALE,1972,Light Vehicle,2006,8,6000,Blue,Private,Benzene,Yes,9.0,3.0,2500,100000,28/02/2026 12:00,high,53,f60298b1-afa1-4b94-b9ca-d0440d6b99bc,19,0,1,0.62,1.0
26/07/2015,Emirates,FEMALE,1973,Light Vehicle,2010,8,6200,Gray,Private,Benzene,Yes,4.0,2.0,1500,200000,21/01/2026 12:00,low,52,2bc5db26-405b-46e6-8f4f-2ad8b02b8ad7,15,1,1,0.18,1.0
07/12/2021,Emirates,FEMALE,1981,Light Vehicle,2020,4,2000,White,Private,Benzene,No,5.0,4.0,1550,80000,06/06/2026 12:00,high,44,58552609-87b5-4ea1-9aea-9d8079fffcc4,5,1,0,0.74,0.06
10/06/2020,Emirates,FEMALE,1982,Light Vehicle,2014,8,5000,White,Private,Benzene,Yes,5.0,4.0,2429,100000,08/12/2025 12:00,low,43,19dac5ef-2c37-4ccb-b6fb-0ed31f0a5858,11,1,1,0.57,0.97
04/06/2016,Emirates,FEMALE,1986,Light Vehicle,2016,4,1500,White,Private,Benzene,Yes,5.0,4.0,1027,180000,01/12/2025 12:00,medium,39,dd7e180e-a392-446f-ab8a-8c9ea95756e5,9,0,1,0.13,1.0
16/01/2015,Emirates,FEMALE,1989,Light Vehicle,2021,4,2000,Silver,Private,Benzene,Yes,5.0,4.0,1380,200000,14/07/2025 12:00,low,36,511f5b66-9bb1-47f6-9be7-cb0e44c40cbf,4,1,1,0.1,0.93
07/10/2020,Emirates,FEMALE,1990,Light Vehicle,2000,4,2500,White,Private,Benzene,Yes,3.0,2.0,2016,100000,06/04/2026 12:00,high,35,cd5e3382-cde8-4929-81dd-631f4ce92a97,25,0,1,0.67,1.0
18/12/2019,Emirates,FEMALE,1990,Light Vehicle,2012,4,1800,Black,Private,Benzene,Yes,5.0,4.0,1500,120000,16/06/2026 12:00,medium,35,7d1744e0-1eec-412d-99f8-2b724601cb1f,13,0,1,0.35,1.0
11/02/2020,Emirates,FEMALE,1990,Light Vehicle,2020,4,2000,Black,Private,Benzene,Yes,5.0,4.0,2200,100000,10/08/2025 12:00,low,35,4737cc53-ef37-4cbb-a6e4-e6d86a6750f3,5,1,0,0.51,0.09
07/06/2020,Emirates,FEMALE,1992,Light Vehicle,2021,4,2000,White,Private,Benzene,Yes,8.0,5.0,2760,100000,05/12/2025 12:00,medium,33,ccf0600e-0e70-44b3-8917-800db7907441,4,0,0,0.32,0.03
25/07/2015,Emirates,FEMALE,1994,Light Vehicle,2021,4,2000,Black,Private,Benzene,Yes,5.0,4.0,1835,200000,20/01/2026 12:00,medium,31,ae1097e9-e259-4609-91c8-be308d36b5a8,4,0,1,0.06,0.92
21/07/2017,Emirates,FEMALE,1997,Light Vehicle,2021,4,2000,Black,Private,Benzene,Yes,5.0,4.0,1900,160000,17/01/2026 12:00,medium,28,8f5e6305-9113-44a9-a40d-22c748e34b04,4,0,1,0.14,0.55
12/11/2015,Emirates,MALE,1948,Light Vehicle,2021,0,0,Gray,Private,Battery-Electric Motor,No,5.0,4.0,2465,200000,10/05/2026 12:00,medium,77,75935a4b-07c5-43a7-a3ca-d06dd0f48f3a,4,0,1,0.07,0.87
17/01/2021,Emirates,MALE,1950,Light Vehicle,2015,6,3800,Black,Private,Benzene,No,7.0,4.0,2150,80000,17/07/2025 12:00,medium,75,bc3bdaee-5585-416b-aad1-908c1df37508,10,1,1,0.65,0.73
24/05/2019,Emirates,MALE,1950,Light Vehicle,2021,4,2000,Gray,Private,Benzene,No,5.0,4.0,2200,120000,20/11/2025 12:00,medium,75,400d9ce9-692e-4022-9bbb-24ac11e9f04e,4,0,0,0.43,0.09
05/05/2017,Emirates,MALE,1951,Light Vehicle,2018,6,3500,White,Private,Benzene,No,5.0,4.0,2200,160000,01/11/2025 12:00,low,74,3a8cee16-0cb6-4ab5-a030-cfc48d0e116d,7,1,1,0.31,0.96
26/06/2015,Emirates,MALE,1952,Light Vehicle,2017,6,3500,Lead,Private,Benzene,No,5.0,4.0,1842,200000,22/12/2025 12:00,high,73,1b5a5eae-7749-4a28-b718-e5752f945840,8,0,1,0.21,1.0
11/03/2017,Emirates,MALE,1956,Light Vehicle,2020,4,2000,Black,Private,Benzene,No,5.0,4.0,1761,160000,07/09/2025 12:00,high,69,890e75a7-7549-49ac-b338-e908c9641b78,5,0,1,0.37,0.8
19/04/2017,Emirates,MALE,1956,Light Vehicle,2021,4,2000,White,Private,Benzene,No,5.0,4.0,2200,160000,16/10/2025 12:00,low,69,0acfa456-fa77-4130-a4fc-2840a7f2d302,4,1,1,0.27,0.57
12/02/2020,Emirates,MALE,1959,Light Vehicle,2015,12,6300,Red,Private,Benzene,No,2.0,2.0,1630,100000,11/08/2025 12:00,low,66,0cf53fc2-ea54-40e4-a4a4-64b2e3000266,10,1,1,0.74,0.95
03/07/2019,Emirates,MALE,1963,Light Vehicle,2010,8,5600,Golden,Private,Benzene,No,8.0,4.0,2500,120000,30/12/2025 12:00,medium,62,b2c35119-6c41-4229-8c95-0fee9c97575e,15,0,1,0.36,1.0
25/03/2021,Emirates,MALE,1964,Light Vehicle,2021,4,2000,Black,Private,Benzene,No,5.0,4.0,1435,80000,22/09/2025 12:00,medium,61,9560e5fe-9e71-452c-8c34-db28324b9380,4,1,0,0.64,0.01
01/05/2018,Emirates,MALE,1965,Light Vehicle,2021,4,2000,White,Private,Benzene,No,5.0,4.0,2150,140000,28/10/2025 12:00,high,60,76d58b00-8b7f-4c52-a5cd-a233e48fdc24,4,0,0,0.43,0.37
19/11/2015,Emirates,MALE,1966,Light Vehicle,2019,6,4000,Black,Private,Benzene,No,5.0,4.0,1700,200000,17/05/2026 12:00,high,59,31d17ab0-192f-47c0-9d86-d695f623b70c,6,0,1,0.18,0.99
30/12/2019,Emirates,MALE,1968,Light Vehicle,1971,8,3500,Silver,Private,Benzene,No,5.0,2.0,1900,120000,28/06/2026 12:00,medium,57,93d25644-4e73-41b6-a0d9-0d7badd5ec28,54,0,1,0.45,1.0
09/05/2020,Emirates,MALE,1968,Light Vehicle,1998,6,4300,White,Private,Benzene,No,5.0,3.0,2600,100000,06/11/2025 12:00,medium,57,3a32ab3d-4f06-4678-9a64-6e145b7bee63,27,0,1,0.51,1.0
13/12/2018,Emirates,MALE,1968,Light Vehicle,2021,4,2000,White,Private,Benzene,No,5.0,5.0,2520,140000,11/06/2026 12:00,medium,57,8288a4e0-fed8-45e1-93e8-5805fae4c994,4,0,0,0.25,0.33
06/06/2020,Emirates,MALE,1969,Light Vehicle,2021,4,2000,White,Private,Benzene,No,5.0,4.0,1680,100000,04/12/2025 12:00,high,56,8be35998-84fe-482a-a57d-7010bbe629ff,4,0,0,0.66,0.06
30/06/2018,Emirates,MALE,1970,Trailer,2014,4,2000,Silver,Private,Not Exist,No,,,300,140000,27/12/2025 12:00,low,55,3b26df7f-1392-4241-b6c8-e7bdbda10afe,11,1,1,0.59,1.0
18/09/2018,Emirates,MALE,1971,Light Vehicle,2021,4,2000,Black,Private,Benzene,No,8.0,4.0,2733,140000,17/03/2026 12:00,low,54,3f9f590d-e634-407c-bb30-1bdf90894952,4,1,0,0.25,0.28
30/12/2017,Emirates,MALE,1972,Light Vehicle,2014,8,5000,White,Private,Benzene,No,5.0,4.0,2000,160000,28/06/2026 12:00,medium,53,6b87b517-4c71-4b8c-b4d1-606b56b55a57,11,0,1,0.2,1.0
12/03/2015,Emirates,MALE,1972,Trailer,2021,4,2000,Silver,Private,Not Exist,No,,,650,200000,07/09/2025 12:00,medium,53,810736b2-dc51-4a09-8815-b3c06b0477a5,4,0,1,0.18,0.97
26/10/2015,Emirates,MALE,1973,Light Vehicle,2021,4,2000,White,Private,Benzene,No,5.0,4.0,2200,200000,23/04/2026 12:00,medium,52,2b4c6610-3da4-4481-b41f-faedcbfa2615,4,0,1,0.07,0.94
29/03/2015,Emirates,MALE,1974,Light Vehicle,2015,8,5300,White,Private,Benzene,No,7.0,4.0,1650,200000,24/09/2025 12:00,low,51,ef73acc4-0db8-445f-99ac-1ae1f8d4c86c,10,1,1,0.11,1.0
30/06/2019,Emirates,MALE,1975,Light Vehicle,2007,6,3000,White,Private,Benzene,No,5.0,4.0,1682,120000,27/12/2025 12:00,medium,50,a8a9bd3d-11bc-43b2-9997-c635b521a98d,18,0,1,0.38,1.0
20/03/2017,Emirates,MALE,1975,Light Vehicle,2021,4,2000,Black,Private,Benzene,No,2.0,2.0,2207,160000,16/09/2025 12:00,high,50,7310b52d-bfb9-41fc-b13e-1290a273e2b9,4,0,1,0.35,0.72
10/08/2018,Emirates,MALE,1978,Light Vehicle,2013,6,3600,White,Private,Benzene,No,5.0,4.0,1400,140000,06/02/2026 12:00,low,47,ede3c7c2-e34c-4b4f-9d20-594c48d186b3,12,1,1,0.35,1.0
20/05/2021,Emirates,MALE,1978,Light Vehicle,2020,6,3500,Black,Private,Benzene,No,5.0,4.0,2000,80000,17/11/2025 12:00,low,47,4bfbc489-19e3-4c55-b994-4e312d2a233f,5,1,0,0.66,0.05
22/10/2016,Emirates,MALE,1980,Light Vehicle,2020,4,2000,White,Private,Benzene,No,5.0,5.0,1143,180000,20/04/2026 12:00,low,45,9ccacfae-d290-43a8-8622-0f90d4cd9ff9,5,1,1,0.16,0.95
28/11/2017,Emirates,MALE,1980,Light Vehicle,2021,4,2000,White,VIP,Benzene,No,5.0,5.0,2500,160000,27/05/2026 12:00,medium,45,19d700cf-5795-46c6-bb10-1ac35c5022d4,4,0,1,0.15,0.66
24/04/2020,Emirates,MALE,1981,Light Vehicle,1990,6,3200,Lead,Private,Benzene,No,4.0,2.0,1300,100000,22/10/2025 12:00,medium,44,12bbe699-eccd-4dfa-bc46-bc4d915710f9,35,0,1,0.54,1.0
26/08/2016,Emirates,MALE,1981,Light Vehicle,2005,8,5000,Silver,Private,Benzene,No,5.0,4.0,1500,180000,22/02/2026 12:00,medium,44,45ff5358-0eef-44e0-8919-32934997869d,20,0,1,0.14,1.0
02/08/2015,Emirates,MALE,1981,Light Vehicle,2017,4,2000,White,Private,Benzene,No,8.0,3.0,2000,200000,28/01/2026 12:00,low,44,866e423a-ad5a-41d7-aad2-2dcf9aa6f996,8,1,1,0.07,1.0
11/01/2017,Emirates,MALE,1981,Light Vehicle,2021,4,2000,Black,Private,Benzene,No,7.0,5.0,2500,160000,10/07/2025 12:00,low,44,79f600e2-4fb7-4be9-b49b-bb70bff5fee5,4,1,1,0.16,0.65
21/02/2016,Emirates,MALE,1981,Light Vehicle,2021,4,2000,Gray,Private,Benzene,No,5.0,5.0,1606,180000,19/08/2025 12:00,high,44,16c72b5f-d1c4-448d-b35c-6ba3f67cacd2,4,0,1,0.2,0.9
20/07/2021,Emirates,MALE,1981,Trailer,2006,4,2000,Silver,Private,Not Exist,No,,,200,80000,17/01/2026 12:00,high,44,b232eb54-074f-4805-ad7d-02b0a5445188,19,1,1,0.88,1.0
